1.3	0.7	1	10	0.0000469563697941745	0.649953043630225	0	0	0	0.024422097639667	0.20604191357392	0.119535988786413
1.3	0.7	1	20	0.0000323625685024904	0.649967637431497	0	0	0	0.014549749985776	0.18358870245718	0.151861547557044
1.3	0.7	1	50	0.0000194837834732169	0.649980516216526	0	0	0	0.006779789085665	0.14631915727829	0.196901053636045
1.3	0.7	1	100	0.0000131307498054286	0.649986869250194	0	0	0	0.003581703828918	0.116521349925184	0.229896946245899
1.3	0.7	1	200	0.00000875934207326558	0.649991240657809	0	0	0	0.001800295931337	0.08870091498126	0.259498789087404
1.3	0.7	1	500	0.00000503734814936514	0.649994962651847	0	0	0	0.000676984605305	0.058184087261317	0.291138928133378
1.3	0.7	1	1000	0.00000326454515293564	0.649996735454843	0	0	0	0.000308879680396	0.040658929043049	0.309032191276555
1.3	0.7	1	2000	0.00000208598518545547	0.649997914070552	0	0	0	0.000136414251157	0.027608821108104	0.322254764640739
1.3	0.7	1	5000	0.00000112747845028359	0.649998872521228	0	0	0	0.000044397826107886	0.015939861098915	0.334015741074978
1.3	0.7	1	10000	0.000000694203167400922	0.649999305796702	0	0	0	0.0000184789666612571	0.010260841248444	0.339720679784895
1.3	0.7	2	10	0.0000875164535694831	0.649912483546429	0	0	0	0.050466866456951	0.228431847411197	0.071101286131852
1.3	0.7	2	20	0.0000605824566710367	0.649939417543327	0	0	0	0.032654517211713	0.220095384303933	0.097250098484354
1.3	0.7	2	50	0.0000367271023792369	0.649963272897618	0	0	0	0.016972318210401	0.194312742209274	0.138714939580325
1.3	0.7	2	100	0.0000249199541875573	0.649975080045809	0	0	0	0.009732563884733	0.166831290379051	0.173436145736215
1.3	0.7	2	200	0.0000167581404937101	0.649983241859457	0	0	0	0.005292407557289	0.136294332210048	0.208413260232664
1.3	0.7	2	500	0.00000974801241442916	0.649990251987578	0	0	0	0.002184071528432	0.097000737657383	0.250815190814184
1.3	0.7	2	1000	0.00000636885684104986	0.649993631143147	0	0	0	0.001056325562231	0.07127274805485	0.277670926382919
1.3	0.7	2	2000	0.00000409796346862165	0.649995902011729	0	0	0	0.000488742761062	0.050351250388235	0.299160006850703
1.3	0.7	2	5000	0.00000223047101498419	0.649997769528886	0	0	0	0.000166285928202	0.030177916654899	0.319655797416899
1.3	0.7	2	10000	0.00000137841100679638	0.649998621584171	0	0	0	0.0000707988824701478	0.019798810080136	0.330130391037394
1.3	0.7	5	10	0.000197738996004	0.649802261003991	0	0	0	0.106744838132157	0.213806507857928	0.029448654009914
1.3	0.7	5	20	0.000137604673009	0.649862395326982	0	0	0	0.077021068657333	0.228528008843265	0.044450922499402
1.3	0.7	5	50	0.0000839738091625158	0.649916026190825	0	0	0	0.046234575895095	0.231493197970361	0.072272226134544
1.3	0.7	5	100	0.0000572882610169878	0.649942711738965	0	0	0	0.029591689576949	0.22063783144755	0.0997704789755
1.3	0.7	5	200	0.0000387933824052956	0.649961206617375	0	0	0	0.017973972236226	0.199950290005717	0.132075737758058
1.3	0.7	5	500	0.0000228450763085532	0.649977154923654	0	0	0	0.008566089320414	0.162332504003775	0.17910140667581
1.3	0.7	5	1000	0.000015093230122915	0.649984906769824	0	0	0	0.004588695617861	0.130643687275247	0.214767617106892
1.3	0.7	5	2000	0.00000982446697073878	0.649990175610878	0	0	0	0.002326075020682	0.099956004706756	0.247717920272562
1.3	0.7	5	5000	0.00000542228745640553	0.649994577712256	0	0	0	0.000872974921863	0.065169957499562	0.283957067578576
1.3	0.7	5	10000	0.00000337952585950949	0.649996620473103	0	0	0	0.000392916050768	0.044816101713094	0.304790982236138
1.3	0.7	10	10	0.000364801563091	0.649635198436893	0	0	0	0.161555687054357	0.17535584707541	0.013088465870233
1.3	0.7	10	20	0.000254534453486	0.64974546554649	0	0	0	0.126245862370072	0.202467586359577	0.021286551270351
